subject,professor,room,weekday,start_time,end_tim
일반생물학및실험1,김병혁,1104-266(상영바이오관 266 학부 공용실습실),화,16:00,18:00
일반생물학및실험1,이민호,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),월,14:00,16:00
일반생물학및실험1,이민호,1104-266(상영바이오관 266 학부 공용실습실),월,14:00,16:00
일반생물학및실험1,이민호,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),월,16:00,18:00
일반생물학및실험1,이민호,1104-266(상영바이오관 266 학부 공용실습실),월,16:00,18:00
일반생물학및실험1,김경희,1104-266(상영바이오관 266 학부 공용실습실),월,10:00,12:00
일반생물학및실험1,김경희,1102-132(종합강의동 132 세미나실1),월,10:00,12:00
일반생물학및실험1,김경희,1104-266(상영바이오관 266 학부 공용실습실),월,13:00,15:00
일반생물학및실험1,김경희,1102-132(종합강의동 132 세미나실1),월,13:00,15:00
일반통계학및실습1,정선,307-333(명진관 A333 강의실),화,14:00,16:00
일반통계학및실습1,정선,102-211(학술/문화관 K211 (K) 공용컴퓨터실),화,14:00,16:00
일반통계학및실습1,정선,307-333(명진관 A333 강의실),수,14:00,16:00
일반통계학및실습1,정선,102-211(학술/문화관 K211 (K) 공용컴퓨터실),수,14:00,16:00
대학생물학및실험1,이병무,1104-266(상영바이오관 266 학부 공용실습실),월,13:00,15:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),월,13:00,15:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),월,13:00,15:00
대학생물학및실험1,이병무,1104-266(상영바이오관 266 학부 공용실습실),화,10:30,12:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),화,10:30,12:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),화,10:30,12:00
대학생물학및실험1,이병무,1104-266(상영바이오관 266 학부 공용실습실),목,10:30,12:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),목,10:30,12:00
대학생물학및실험1,이병무,1102-132(종합강의동 132 세미나실1),목,10:30,12:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,09:00,10:30
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),화,09:00,10:30
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,09:00,10:30
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),수,14:00,16:00
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),수,14:00,16:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),수,14:00,16:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),목,09:00,10:30
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),목,09:00,10:30
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),목,09:00,10:30
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,10:30,12:00
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),화,10:30,12:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,10:30,12:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),수,16:00,18:00
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),수,16:00,18:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),수,16:00,18:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),목,10:30,12:00
대학생물학및실험1,양봉숙,1104-266(상영바이오관 266 학부 공용실습실),목,10:30,12:00
대학생물학및실험1,양봉숙,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),목,10:30,12:00
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),화,09:00,10:30
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),화,09:00,10:30
대학생물학및실험1,서태근,1104-266(상영바이오관 266 학부 공용실습실),화,09:00,10:30
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),목,09:00,10:30
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),목,09:00,10:30
대학생물학및실험1,서태근,1104-266(상영바이오관 266 학부 공용실습실),목,09:00,10:30
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),목,16:00,18:00
대학생물학및실험1,서태근,1102-132(종합강의동 132 세미나실1),목,16:00,18:00
대학생물학및실험1,서태근,1104-266(상영바이오관 266 학부 공용실습실),목,16:00,18:00
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),화,12:00,13:30
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),화,12:00,13:30
대학생물학및실험1,방석영,1104-266(상영바이오관 266 학부 공용실습실),화,12:00,13:30
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),목,12:00,13:30
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),목,12:00,13:30
대학생물학및실험1,방석영,1104-266(상영바이오관 266 학부 공용실습실),목,12:00,13:30
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),목,14:00,16:00
대학생물학및실험1,방석영,1104-213(상영바이오관 213 강의실),목,14:00,16:00
대학생물학및실험1,방석영,1104-266(상영바이오관 266 학부 공용실습실),목,14:00,16:00
대학통계학및실습1,주용성,102-211(학술/문화관 K211 (K) 공용컴퓨터실),월,12:00,13:30
대학통계학및실습1,주용성,102-211(학술/문화관 K211 (K) 공용컴퓨터실),월,12:00,13:30
대학통계학및실습1,주용성,102-211(학술/문화관 K211 (K) 공용컴퓨터실),월,12:00,13:30
대학통계학및실습1,주용성,102-211(학술/문화관 K211 (K) 공용컴퓨터실),수,11:00,12:30
